grayscale_toggle,distance,fee_config,unit_fee,pickdrop_fee,min_fee,hub_config_source,discount_rate,group_member_fee_list,fee_config,surge_rate,is_decoupled,shipping_fee,distance,shipping_fee_no_surge,final_shipping_fee,total_single_shipping_fee,hub_stack_shipping_fee,hub_calculate_details,dropoff_points,lng_lat_compare_precision,package_increase_original_fee_replace,unique_pickup_points_toggle,original_dropoff_points,hub_stack_fee,pickup_points,package_decrease_original_fee_replace,discount_fee,unique_dropoff_points_toggle,original_delivery_info,delivery_order_ids,hub_extra_fee
1,5628.0,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,5628.0,13500.0,27000,27000,23105.0,{'original_pickup_points': 2,2,-1,False,False,2,21105.0,2,False,18900.0,False,{'shipping_fee': 27000.0,[513351464 513368655]},2000}
1,2075.69,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2075.69,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513371459]},2000}
1,2219.3,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2219.3,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513373015]},2000}
1,2052.69,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2052.69,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513373080]},2000}
1,2123.69,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2123.69,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513365916 513369305]},2000}
1,4379.0,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,4379.0,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,16421.25,2,False,18900.0,False,{'shipping_fee': 13500.0,[513375127]},2000}
1,2991.39,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2991.39,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513361168]},2000}
1,4881.8,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,4881.8,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,18306.75,2,False,18900.0,False,{'shipping_fee': 13500.0,[513355059]},2000}
1,2862.2,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2862.2,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513355954]},2000}
1,682.9,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,682.9,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513356074 513358548]},2000}
1,1632.69,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,1632.69,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513354871]},2000}
1,3629.7,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3629.7,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13611.375,2,False,18900.0,False,{'shipping_fee': 13500.0,[513356001]},2000}
1,6018.6,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,6018.6,13500.0,27000,27000,24570.0,{'original_pickup_points': 2,2,-1,False,False,2,22569.75,2,False,18900.0,False,{'shipping_fee': 13500.0,[513335859]},2000}
1,1528.6,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,1528.6,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513351090]},2000}
1,2810.0,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2810.0,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513344429 513349609]},2000}
1,3127.6,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3127.6,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513347857 513353567]},2000}
1,2862.2,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2862.2,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513355954]},2000}
1,3803.09,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3803.09,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,14261.5875,2,False,18900.0,False,{'shipping_fee': 27000.0,[513357150 513359903]},2000}
1,2053.79,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2053.79,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513353554]},2000}
