"report_date","logic_segment","shipper_id","city_name","total_order","total_order_spxi","total_assign"
"2024-04-04","new","17916938","Ha Noi City","24","3","25"
"2024-04-04","new","41547997","Ha Noi City","22","10","25"
"2024-04-04","new","14314189","HCM City","25","2","29"
"2024-04-04","new","42201065","HCM City","21","21","21"
"2024-04-04","new","40645684","Ha Noi City","23","11","23"
"2024-04-04","new","16628823","HCM City","27","7","30"
"2024-04-04","new","40147439","HCM City","25","25","26"
"2024-04-04","new","42240852","Ha Noi City","20","17","21"
"2024-04-04","new","41089259","HCM City","11","9","12"
"2024-04-04","new","23112926","HCM City","26","18","28"
"2024-04-04","new","40799294","HCM City","20","12","21"
"2024-04-04","new","15129349","HCM City","17","7","17"
"2024-04-04","new","40887140","HCM City","18","14","19"
"2024-04-04","new","16036969","HCM City","18","10","18"
"2024-04-04","new","40802769","HCM City","26","14","27"
"2024-04-04","new","41056762","HCM City","15","7","15"
"2024-04-04","new","16022190","HCM City","24","15","27"
"2024-04-04","new","19154474","HCM City","31","17","34"
"2024-04-04","new","10594913","Ha Noi City","26","26","32"
"2024-04-04","new","42334530","HCM City","27","19","27"
"2024-04-04","new","41420951","Ha Noi City","21","21","26"
"2024-04-04","new","17157647","HCM City","23","11","27"
"2024-04-04","new","16231055","Ha Noi City","25","17","27"
"2024-04-04","new","21734635","HCM City","25","11","26"
"2024-04-04","new","17480859","HCM City","25","10","27"
"2024-04-04","new","18040305","HCM City","28","10","41"
"2024-04-04","new","15392748","HCM City","17","10","19"
"2024-04-04","new","12539153","HCM City","28","18","38"
"2024-04-04","new","21270167","Ha Noi City","23","4","43"
"2024-04-04","new","21658442","Ha Noi City","22","1","32"
"2024-04-04","new","12916070","Ha Noi City","1","0","30"
"2024-04-04","new","16181283","Ha Noi City","26","26","29"
"2024-04-04","new","19081963","Ha Noi City","26","6","32"
"2024-04-04","new","17191094","HCM City","19","10","21"
"2024-04-04","new","40887065","HCM City","23","9","24"
"2024-04-04","new","15380653","HCM City","26","18","37"
"2024-04-04","new","15952455","HCM City","20","11","22"
"2024-04-04","new","18484249","HCM City","19","10","24"
"2024-04-04","new","41204974","HCM City","24","12","26"
"2024-04-04","new","40152834","HCM City","34","18","37"
"2024-04-04","new","4253023","Ha Noi City","16","5","24"
"2024-04-04","new","15929079","HCM City","23","8","23"
"2024-04-04","new","23104821","HCM City","22","16","23"
"2024-04-04","new","10359752","HCM City","23","10","23"
"2024-04-04","new","17892847","HCM City","24","14","26"
"2024-04-04","new","14261357","HCM City","21","5","23"
"2024-04-04","new","16529438","HCM City","23","9","23"
"2024-04-04","new","40644490","HCM City","27","9","27"
"2024-04-04","new","3446272","Ha Noi City","22","15","31"
"2024-04-04","new","8381464","Ha Noi City","21","0","51"
"2024-04-04","new","23108345","HCM City","16","16","19"
"2024-04-04","new","40046508","HCM City","23","8","25"
"2024-04-04","new","20405228","HCM City","22","4","23"
"2024-04-04","new","19173385","HCM City","30","28","49"
"2024-04-04","new","42281104","Ha Noi City","6","2","6"
"2024-04-04","new","8062933","HCM City","25","25","53"
"2024-04-04","new","7647613","Ha Noi City","9","0","33"
"2024-04-04","new","20450650","Ha Noi City","24","0","35"
"2024-04-04","new","14099657","HCM City","29","7","30"
"2024-04-04","new","13143321","HCM City","31","19","33"
"2024-04-04","new","4384543","HCM City","31","9","33"
"2024-04-04","new","40133805","HCM City","22","10","22"
"2024-04-04","new","14603729","HCM City","23","9","25"
"2024-04-04","new","42201280","Ha Noi City","26","18","28"
"2024-04-04","new","41561302","Ha Noi City","26","19","30"
"2024-04-04","new","20288526","Ha Noi City","23","14","25"
"2024-04-04","new","17319464","HCM City","26","13","28"
"2024-04-04","new","19499419","HCM City","25","10","25"
"2024-04-04","new","5887565","HCM City","22","9","30"
"2024-04-04","new","15905015","Ha Noi City","29","16","32"
"2024-04-04","new","41551185","HCM City","16","10","16"
"2024-04-04","new","20184827","HCM City","22","15","22"
"2024-04-04","new","50335375","HCM City","21","8","21"
"2024-04-04","new","20116856","HCM City","29","16","33"
"2024-04-04","new","13218407","HCM City","29","17","33"
"2024-04-04","new","50320905","Ha Noi City","29","0","29"
"2024-04-04","new","15936169","Ha Noi City","25","25","61"
"2024-04-04","new","6947431","Ha Noi City","18","4","30"
"2024-04-04","new","1146567","HCM City","12","7","27"
"2024-04-04","new","16730245","Ha Noi City","28","28","29"
"2024-04-04","new","3721534","HCM City","26","19","29"
"2024-04-04","new","11110759","HCM City","23","8","27"
"2024-04-04","new","23174727","HCM City","16","7","17"
"2024-04-04","new","18529683","HCM City","28","5","34"
"2024-04-04","new","41792394","Ha Noi City","29","16","30"
"2024-04-04","new","7309582","HCM City","25","4","26"
"2024-04-04","new","40621971","Ha Noi City","24","24","29"
"2024-04-04","new","19091924","HCM City","20","7","22"
"2024-04-04","new","4424612","HCM City","29","16","30"
"2024-04-04","new","9030747","Ha Noi City","26","15","35"
"2024-04-04","new","40957503","HCM City","22","13","27"
"2024-04-04","new","15828643","HCM City","24","14","24"
"2024-04-04","new","18743695","Ha Noi City","18","0","19"
"2024-04-04","new","17822688","Ha Noi City","27","15","33"
"2024-04-04","new","10020095","Ha Noi City","21","11","30"
"2024-04-04","new","14615895","HCM City","38","24","43"
"2024-04-04","new","6537396","HCM City","23","11","27"
"2024-04-04","new","3649891","HCM City","22","7","22"
"2024-04-04","new","40350169","Ha Noi City","28","4","28"
"2024-04-04","new","18860797","Ha Noi City","22","16","27"
"2024-04-04","new","4468065","Ha Noi City","26","11","33"
"2024-04-04","new","17451538","HCM City","20","10","22"
"2024-04-04","new","23125568","Ha Noi City","17","6","19"
"2024-04-04","new","19526076","Ha Noi City","8","8","8"
"2024-04-04","new","17389089","Ha Noi City","25","25","41"
"2024-04-04","new","23139586","HCM City","20","10","30"
"2024-04-04","new","10260732","Ha Noi City","24","24","107"
"2024-04-04","new","9699742","HCM City","16","16","16"
"2024-04-04","new","11821184","Ha Noi City","28","7","53"
"2024-04-04","new","16191741","HCM City","21","5","23"
"2024-04-04","new","14809348","HCM City","24","1","24"
"2024-04-04","new","15392976","Ha Noi City","22","14","31"
"2024-04-04","new","14463717","Ha Noi City","27","15","30"
"2024-04-04","new","40801693","Ha Noi City","18","9","39"
"2024-04-04","new","42074519","HCM City","27","27","28"
"2024-04-04","new","50320853","HCM City","26","12","31"
"2024-04-04","new","12173026","HCM City","24","7","45"
"2024-04-04","new","19066776","HCM City","22","15","25"
"2024-04-04","new","40298243","HCM City","27","8","28"
"2024-04-04","new","18273236","HCM City","20","11","23"
"2024-04-04","new","40182314","HCM City","28","9","35"
"2024-04-04","new","20229359","Ha Noi City","26","26","33"
"2024-04-04","new","12099271","HCM City","22","12","32"
"2024-04-04","new","23113921","Ha Noi City","7","1","56"
"2024-04-04","new","18387612","HCM City","20","11","20"
"2024-04-04","new","21146297","Ha Noi City","1","0","77"
"2024-04-04","new","17086828","HCM City","25","13","26"
"2024-04-04","new","12011497","HCM City","21","0","21"
"2024-04-04","new","18323526","HCM City","30","16","35"
"2024-04-04","new","17192424","Ha Noi City","7","0","7"
"2024-04-04","new","21220234","Ha Noi City","23","5","28"
"2024-04-04","new","42213400","HCM City","22","11","23"
"2024-04-04","new","13174544","HCM City","27","23","515"
"2024-04-04","new","16220519","HCM City","22","12","22"
"2024-04-04","new","18515934","HCM City","17","17","20"
"2024-04-04","new","22263292","Ha Noi City","30","18","49"
"2024-04-04","new","3443134","HCM City","33","17","41"
"2024-04-04","new","11994715","HCM City","24","12","27"
"2024-04-04","new","16597409","HCM City","17","7","18"
"2024-04-04","new","16616376","HCM City","23","9","23"
"2024-04-04","new","17469068","HCM City","21","15","23"
"2024-04-04","new","12956021","HCM City","23","7","31"
"2024-04-04","new","18326973","Ha Noi City","25","7","121"
"2024-04-04","new","20425313","HCM City","23","8","23"
"2024-04-04","new","19888468","HCM City","22","15","22"
"2024-04-04","new","15988860","Ha Noi City","14","12","22"
"2024-04-04","new","22939916","Ha Noi City","27","0","33"
"2024-04-04","new","15533232","HCM City","23","16","24"
"2024-04-04","new","23136695","Ha Noi City","29","29","34"
"2024-04-04","new","16169364","HCM City","12","1","19"
"2024-04-04","new","17207451","Ha Noi City","10","7","10"
"2024-04-04","new","2622259","Ha Noi City","8","8","46"
"2024-04-04","new","13217387","HCM City","23","14","24"
"2024-04-04","new","50136135","Ha Noi City","22","12","27"
"2024-04-04","new","41240293","HCM City","27","12","27"
"2024-04-04","new","41976593","Ha Noi City","19","19","22"
"2024-04-04","new","19533113","Ha Noi City","24","0","26"
"2024-04-04","new","20293736","HCM City","31","7","31"
"2024-04-04","new","20287487","HCM City","28","2","46"
"2024-04-04","new","10563603","Ha Noi City","23","18","26"
"2024-04-04","new","41854335","Ha Noi City","26","18","34"
"2024-04-04","new","21946290","Ha Noi City","23","11","30"
"2024-04-04","new","20619267","HCM City","25","20","26"
"2024-04-04","new","9123208","Ha Noi City","6","0","9"
